"","analysis_type","label_information","label_group_var_1","label_group_var_value_1"
"1","prop_select_one","Cannot afford the direct costs of education","population_group","IDP in"
"2","prop_select_one","Cannot afford the direct costs of education","population_group","IDP out"
"3","prop_select_one","Cannot afford the direct costs of education","population_group","Resident"
"4","prop_select_one","Cannot afford the direct costs of education","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"5","prop_select_one","Cannot afford the direct costs of education","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"6","prop_select_one","Cannot afford the direct costs of education","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"7","prop_select_one","Cannot afford the direct costs of education","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
"8","prop_select_one","Child participating in income generating activities outside of the home","population_group","IDP in"
"9","prop_select_one","Child participating in income generating activities outside of the home","population_group","IDP out"
"10","prop_select_one","Child participating in income generating activities outside of the home","population_group","Resident"
"11","prop_select_one","Child participating in income generating activities outside of the home","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"12","prop_select_one","Child participating in income generating activities outside of the home","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"13","prop_select_one","Child participating in income generating activities outside of the home","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"14","prop_select_one","Child participating in income generating activities outside of the home","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
"15","prop_select_one","Lack of appropriate and accessible school","population_group","IDP in"
"16","prop_select_one","Lack of appropriate and accessible school","population_group","IDP out"
"17","prop_select_one","Lack of appropriate and accessible school","population_group","Resident"
"18","prop_select_one","Lack of appropriate and accessible school","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"19","prop_select_one","Lack of appropriate and accessible school","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"20","prop_select_one","Lack of appropriate and accessible school","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"21","prop_select_one","Lack of appropriate and accessible school","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
"22","prop_select_one","The child's disability or health issues prevents them from accessing school","population_group","IDP in"
"23","prop_select_one","The child's disability or health issues prevents them from accessing school","population_group","IDP out"
"24","prop_select_one","The child's disability or health issues prevents them from accessing school","population_group","Resident"
"25","prop_select_one","The child's disability or health issues prevents them from accessing school","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"26","prop_select_one","The child's disability or health issues prevents them from accessing school","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"27","prop_select_one","The child's disability or health issues prevents them from accessing school","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"28","prop_select_one","The child's disability or health issues prevents them from accessing school","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
"29","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","population_group","IDP in"
"30","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","population_group","IDP out"
"31","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","population_group","Resident"
"32","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"33","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"34","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"35","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
"36","prop_select_one","other","population_group","IDP in"
"37","prop_select_one","other","population_group","IDP out"
"38","prop_select_one","other","population_group","Resident"
"39","prop_select_one","other","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"40","prop_select_one","other","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"41","prop_select_one","other","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"42","prop_select_one","other","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
"43","prop_select_one","% of school-aged children  who did not attend school or any early childhood education program at any time during the 2023-2024 school year","population_group","IDP in"
"44","prop_select_one","% of school-aged children  who did not attend school or any early childhood education program at any time during the 2023-2024 school year","population_group","IDP out"
"45","prop_select_one","% of school-aged children  who did not attend school or any early childhood education program at any time during the 2023-2024 school year","population_group","Resident"
"46","prop_select_one","% of school-aged children  who did not attend school or any early childhood education program at any time during the 2023-2024 school year","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"47","prop_select_one","% of school-aged children  who did not attend school or any early childhood education program at any time during the 2023-2024 school year","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"48","prop_select_one","% of school-aged children  who did not attend school or any early childhood education program at any time during the 2023-2024 school year","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"49","prop_select_one","% of school-aged children  who did not attend school or any early childhood education program at any time during the 2023-2024 school year","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
